Pattern,Mapped Country
$CountryCode$ = "AU",AU
$CountryCode$ = "AUS",AU
$CountryCode$ = "AUSTRALIEN",AU
$CountryCode$ = "AUSTRALIA",AU
$CountryCode$ = "AT",AT
$CountryCode$ = "AUT",AT
$CountryCode$ = "ÖSTERREICH",AT
$CountryCode$ = "OESTERREICH",AT
$CountryCode$ = "AUSTRIA",AT
$CountryCode$ = "CA",CA
$CountryCode$ = "CAN",CA
$CountryCode$ = "KANADA",CA
$CountryCode$ = "CANADA",CA
$CountryCode$ = "DE",DE
$CountryCode$ = "DEU",DE
$CountryCode$ = "DEUTSCHLAND",DE
$CountryCode$ = "ALLEMAGNE",DE
$CountryCode$ = "GERMANY",DE
$CountryCode$ = "LU",LU
$CountryCode$ = "LUX",LU
$CountryCode$ = "LUXEMBURG",LU
$CountryCode$ = "LUXEMBOURG",LU
$CountryCode$ = "CH",CH
$CountryCode$ = "CHE",CH
$CountryCode$ = "SCHWEIZ",CH
$CountryCode$ = "SUISSE",CH
$CountryCode$ = "SVIZZERA",CH
$CountryCode$ = "SWITZERLAND",CH
$CountryCode$ = "UK",GB
$CountryCode$ = "GB",GB
$CountryCode$ = "GROSSBRITANNIEN",GB
$CountryCode$ = "VEREINIGTES K√ñNIGREICH",GB
$CountryCode$ = "UNITED KINGDOM",GB
$CountryCode$ = "US",US
$CountryCode$ = "USA",US
$CountryCode$ = "VEREINIGTE STAATEN",US
$CountryCode$ = "AMERIKA",US
$CountryCode$ = "UNITED STATES",US
$CountryCode$ = "UNITED STATES",US
$CountryCode$ = "GREAT BRITAIN",GB